id	cul	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6.	AC_7	AC_8	AC_9.	AC_10	AC_11	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2.EC	IRI_4.EC.	IRI_9.EC	IRI_14.EC.	IRI_18.EC.	IRI_20.EC	IRI_22.EC	IRI_3.PT.	IRI_8.PT	IRI_11.PT	IRI_15.PT.	IRI_21.PT	IRI_25.PT	IRI_28.PT	EXP_1	EXP_2	EXP_3	RHAB	FNL1	FNL2	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RATE_WITCH
11	JP1007	JP	5	5	5	5	5	6	5	5	5	5	6	5	6	3	3	3	3	2	3	2	2	5	5	4	5	5	4	5	4	4	5	4	-2	-2	-1	-2	-2	-2	5	5	5	5	5	5	5	5	5	4	4	4	5	4	4	4	5	4	5	5	5	4	4	4	4	5	4	3	4	5	3	1	0	無宗教式		0	47	関東	なし	日本	日本	会社員	東京都	はい		大学・大学校	A
12	JP1008	JP	2	6	7	5	5	4	4	7	4	6	6	5	6	4	5	3	4	4	5	4	4	7	7	2	5	4	4	4	4	7	6	1	-2	0	-3	0	-2	0	10	5	5	2	9	10	0	3	0	10	10	3	10	1	5	5	5	6	7	6	7	4	2	4	6	2	7	3	6	2	1	1	0	仏教式		1	36	近畿（関西）	なし	日本	日本	主婦	大阪府	はい		専門学校・高等専門学校（高専）・短期大学	A
13	JP1009	JP	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	7	1	1	-4	-4	-4	-4	-4	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	7	7	1	1	7	1	1	7	1	1	1	1	1	1	0	仏教式		1	21	北海道・東北	なし	日本	日本	社会人	北海道	はい		高等学校	A
14	JP101	JP	2	5	5	3	4	5	5	4	3	4	6	3	4	3	3	2	2	1	1	1	1	6	5	2	4	5	4	5	4	7	5	5	-2	-3	-3	-3	-3	-2	4	4	2	1	2	4	1	1	1	6	2	2	1	1	3	3	4	3	4	4	4	3	3	4	4	5	4	3	5	5	3	1	1	仏教式		0	60	北海道・東北	なし	日本	日本	公務員	北海道	はい		大学・大学校	A
15	JP1010	JP	7	6	6	6	6	7	7	7	7	7	7	7	7	5	5	4	5	4	2	4	4	6	6	5	7	7	2	5	6	3	5	6	2	2	-2	3	3	1	6	6	5	3	7	7	9	7	4	6	6	8	5	6	8	4	3	5	3	2	6	5	2	5	5	4	5	6	5	4	4	3	2	仏教式		0	25	九州・沖縄	仏教	日本	日本	銀行	福岡	はい		専門学校・高等専門学校（高専）・短期大学	A
16	JP1011	JP	5	5	5	6	5	5	5	6	7	6	7	2	4	3	3	3	3	2	3	2	2	6	5	1	4	4	4	1	1	7	1	1	-4	-4	-4	-4	-4	-4	1	8	0	0	1	8	0	0	1	8	0	7	6	0	8	5	4	6	6	6	5	5	4	5	5	6	5	4	4	4	3	1	2	仏教式		0	53	関東	なし	日本	日本	大学教員	東京	はい		大学院	A
17	JP1012	JP	6	7	7	7	7	7	7	7	7	7	7	7	7	4	4	3	4	2	5	4	4	5	3	2	4	4	2	1	3	6	1	1	-2	-1	1	0	0	0	6	8	6	2	5	8	2	5	2	8	5	7	5	5	8	4	3	7	5	4	7	2	3	6	6	6	7	4	5	6	4	1	3	仏教式		1	35	関東	なし	日本	日本	主婦	埼玉県	はい	ネイティブ(母語が日本語である)	大学・大学校	A
18	JP1013	JP	3	3	6	6	6	6	6	6	6	6	6	6	6	1	2	3	4	4	4	4	5	2	2	2	2	2	6	2	2	5	2	2	0	-3	-1	-2	-1	0	2	2	2	4	3	3	3	5	5	5	5	5	5	5	5	5	4	5	5	4	4	6	2	3	5	3	4	5	4	2	1	1	1	仏教式		1	36	関東	なし	日本	日本	社員	神奈川	はい		大学・大学校	A
19	JP1014	JP	4	5	7	5	6	6	6	6	6	6	6	6	6	3	4	4	3	2	3	2	3	5	3	3	3	2	1	5	3	4	4	3	-3	-2	-2	4	-2	-2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	4	4	4	5	4	4	4	4	4	4	3	5	4	4	5	8	1	1	0	仏教式		1	23	関東	なし	にほん	にほん	会社員	かながわ	はい		高等学校	B
20	JP1015	JP	6	6	2	3	2	6	5	3	5	3	6	6	2	4	4	4	5	5	4	5	5	3	2	5	3	7	2	6	2	3	2	1	-1	3	3	4	4	3	7	3	7	3	8	3	8	1	9	9	9	1	9	9	8	6	2	5	5	5	4	2	6	5	6	2	7	2	6	8	5	2	0	仏教式		1	20	九州・沖縄	仏教	日本	日本	漫画家	愛知	はい		高等学校	A
21	JP1016	JP	7	7	7	7	4	7	7	7	7	7	7	7	7	5	5	5	5	5	5	5	5	5	3	2	3	4	4	4	4	1	1	4	0	0	0	2	0	4	5	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	3	7	4	7	7	7	3	7	7	4	7	7	7	6	1	1	1	仏教式		1	24	関東	なし	日本	日本	会社員	千葉県	はい		大学・大学校	B
22	JP1017	JP	6	6	6	6	5	5	4	6	6	4	6	5	5	4	2	2	4	2	2	2	2	5	5	5	5	5	4	4	4	4	4	4	-3	-3	-2	0	0	0	2	2	3	3	3	3	3	4	3	4	4	4	3	3	3	3	4	4	4	4	4	4	3	4	4	4	4	4	4	3	2	1	2	仏教式		0	53	関東	なし	日本	日本	会社員	東京	はい		大学・大学校	A
23	JP1018	JP	3	5	1	7	7	6	5	5	7	6	6	5	5	3	3	3	1	1	1	1	1	4	7	1	1	3	5	3	2	6	2	2	3	2	-4	-4	2	4	10	3	0	10	1	10	2	8	2	0	1	0	0	0	1	2	1	2	4	5	3	7	7	2	3	5	2	1	1	5	3	6	1	キリスト教式		1	30	中部・北陸	キリスト教	日本	日本	看護師	愛知県	はい		専門学校・高等専門学校（高専）・短期大学	A
24	JP1019	JP	3	6	5	5	4	5	5	5	4	5	5	5	4	5	5	4	4	4	4	4	4	5	4	4	4	5	6	4	3	5	4	5	0	2	1	1	2	1	6	6	8	2	1	7	1	7	2	7	8	7	7	6	7	3	6	4	5	3	5	6	2	4	4	4	4	5	5	5	4	1	0	仏教式		1	36	近畿（関西）	なし	日本	日本	主婦	京都府	はい		専門学校・高等専門学校（高専）・短期大学	A
25	JP102	JP	4	7	7	7	7	7	7	7	4	7	7	4	4	5	5	4	4	3	4	4	3	3	3	3	1	4	3	4	4	3	3	3	0	0	1	1	1	4	5	6	6	0	5	10	0	6	0	10	6	5	6	5	10	5	7	6	7	6	4	2	7	6	7	7	6	6	4	7	1	1	0	無宗教式		1	36	北海道・東北	なし	日本	日本	会社員	北海道	はい		大学・大学校	A
26	JP1020	JP	5	7	7	6	6	6	7	6	6	6	7	5	5	4	5	4	5	3	4	4	5	4	5	5	5	4	3	5	4	6	5	4	-1	-1	2	2	2	2	3	9	7	5	5	7	0	7	4	7	8	7	8	10	8	7	6	6	6	6	6	5	3	4	4	3	5	2	3	5	2	1	1	仏教式		1	23	関東	仏教	日本	日本	アルバイト	東京都	はい		高等学校	B
27	JP1021	JP	6	7	5	6	6	6	7	7	6	7	7	5	6	3	3	3	4	2	5	2	4	6	6	6	6	7	2	6	6	7	4	4	-2	-3	-2	1	-1	-1	2	4	2	2	2	3	3	6	2	5	7	5	4	3	2	1	1	1	1	1	3	1	7	4	6	4	7	1	3	6	1	1	2	無宗教式		1	20	関東	なし	日本	日本	正社員	神奈川	はい		大学・大学校	A
28	JP1022	JP	7	7	7	4	7	7	7	7	4	7	7	6	4	3	3	3	3	4	4	2	4	4	4	3	3	4	2	2	4	6	3	5	0	0	1	0	-1	1	3	5	5	0	2	8	2	3	2	9	5	7	6	4	7	2	5	5	3	5	6	3	3	2	3	4	4	2	2	2	2	1	1	無宗教式		1	32	関東	なし	日本	日本	専業主婦	神奈川	はい		大学・大学校	A
29	JP1023	JP	6	7	7	6	6	7	7	7	6	7	7	6	5	4	4	4	4	4	4	4	3	6	4	4	2	4	1	4	1	4	1	2	2	2	0	0	0	0	3	10	1	1	1	10	0	0	0	10	0	5	2	0	10	7	7	7	7	7	7	5	1	7	6	6	6	6	6	7	4	1	0	仏教式		1	45	中部・北陸	なし	日本	日本	パート	愛知県	はい		大学・大学校	A
30	JP1024	JP	7	6	6	5	5	5	6	6	3	6	7	5	6	1	1	1	1	2	5	1	1	7	4	1	5	5	5	6	6	7	1	2	-4	-4	-4	-4	-4	-2	0	2	2	0	1	10	0	1	1	10	1	10	2	0	10	5	6	4	7	7	3	4	4	2	1	6	2	2	1	8	5	1	1	仏教式		0	20	北海道・東北	なし	日本	日本	学生	北海道	はい		大学・大学校	A
31	JP1025	JP	7	7	7	7	7	5	7	6	7	6	7	6	7	5	5	5	5	5	5	5	5	7	7	7	7	7	1	7	7	1	7	7	2	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	7	1	7	1	1	7	7	1	7	7	1	7	7	7	6	8	6	4	仏教式		1	46	中部・北陸	なし	日本	日本	広告業	徳島	はい		大学院	A
32	JP1026	JP	5	6	7	6	5	4	5	3	3	5	7	4	5	5	5	5	5	4	4	5	3	5	5	6	6	5	4	4	6	5	4	4	1	1	-1	0	1	2	6	7	9	5	8	8	5	5	5	7	5	8	6	7	9	5	2	5	3	3	4	6	5	5	7	3	5	3	4	6	5	1	2	仏教式		1	30	九州・沖縄	仏教徒	日本	日本	販売	福岡	はい		大学・大学校	A
33	JP1027	JP	7	7	7	7	7	7	7	7	7	7	7	7	6	5	5	5	5	5	5	5	3	4	6	4	4	4	4	4	4	5	4	5	0	0	0	0	-2	-2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	4	3	4	5	3	5	4	4	4	3	3	8	2	1	0	無宗教式		1	22	関東	なし	日本	日本	飲食	東京	はい		中学校	A
34	JP1028	JP	6	5	6	6	6	6	6	6	6	6	6	6	6	4	4	3	4	3	4	3	4	6	4	3	3	4	4	4	4	4	3	2	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	4	4	3	2	3	4	5	4	4	5	4	2	1	1	仏教式		1	24	近畿（関西）	なし	日本	日本	学生	奈良	はい		大学・大学校	A
35	JP1029	JP	5	7	6	6	7	7	6	6	6	6	6	5	5	4	3	4	5	3	5	4	5	5	5	6	4	5	2	5	4	6	4	5	-3	-2	0	2	2	0	7	7	5	7	5	4	7	6	6	5	5	7	6	6	4	5	3	5	3	3	5	5	4	5	4	3	5	5	5	4	6	7	4	仏教式		1	23	関東	なし	日本	日本	保育士	神奈川県	はい		高等学校	A
36	JP103	JP	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	3	1	1	1	7	7	4	4	4	4	4	7	7	4	4	2	2	0	1	-1	3	5	8	5	8	5	5	2	5	5	5	5	7	6	0	7	5	7	6	6	6	5	5	3	4	6	5	6	2	2	4	1	1	0	仏教式		0	57	中国・四国	浄土真宗	日本	日本	団体職員	山口	はい		高等学校	B
37	JP1030	JP	6	7	7	6	6	7	7	7	5	6	7	7	6	5	5	5	5	3	4	3	4	4	5	4	4	5	2	4	5	5	4	4	-3	0	4	2	0	1	5	2	5	4	8	5	5	6	6	6	6	5	5	6	5	3	5	4	5	5	7	5	2	5	4	6	5	5	2	7	4	1	2	仏教式		1	36	九州・沖縄	なし	日本	日本	主婦	佐賀	はい		専門学校・高等専門学校（高専）・短期大学	A
38	JP1031	JP	4	6	5	6	6	7	6	7	7	7	7	7	7	5	5	4	5	5	5	4	4	4	4	4	4	4	4	4	3	6	4	4	4	4	4	1	4	4	5	9	1	0	5	10	0	3	3	10	5	9	10	5	10	5	7	7	7	7	6	5	5	5	7	4	4	5	4	5	1	1	0	その他	なし	1	23	関東	なし	日本	日本	アルバイト	東京都	はい		高等学校	A
39	JP1032	JP	4	6	7	7	7	7	7	7	6	7	7	6	6	4	4	4	3	1	1	1	1	7	7	4	5	4	4	4	7	7	7	5	-2	-2	-3	0	-4	-2	0	2	0	0	3	3	0	0	2	5	0	0	0	0	4	4	3	3	4	5	5	3	2	3	3	6	5	2	2	1	5	1	0	その他	わからない	1	23	九州・沖縄	なし	日本	日本	事務	福岡	はい		専門学校・高等専門学校（高専）・短期大学	B
40	JP1033	JP	4	7	7	7	7	7	7	7	7	7	7	6	7	5	5	5	5	5	5	1	1	6	5	4	1	4	2	3	1	7	4	1	-4	2	-4	-4	-4	-2	10	10	5	0	5	10	0	10	0	10	0	10	10	0	10	5	4	4	5	5	5	4	3	3	6	6	5	3	3	6	6	1	0	仏教式		1	21	北海道・東北	なし	日本	日本	弁護士	北海道	はい		大学・大学校	A
41	JP1034	JP	6	7	7	7	7	7	7	7	7	7	7	7	7	4	3	3	4	1	2	2	2	6	6	6	5	5	1	6	5	6	5	2	-3	0	0	2	1	2	8	7	5	7	5	8	3	8	5	8	8	8	8	8	8	5	5	5	5	2	5	4	3	5	4	6	5	4	4	4	2	1	2	仏教式		0	49	近畿（関西）	仏教	日本	日本	会社員	滋賀県	はい		高等学校	A
42	JP1035	JP	6	7	7	7	7	7	7	7	7	7	7	3	7	4	2	1	4	1	1	1	2	2	2	1	1	2	3	1	7	6	1	5	2	4	4	3	4	4	5	5	5	5	5	8	5	6	5	8	6	7	7	6	7	1	3	4	4	7	7	5	4	6	5	1	5	1	3	3	1	1	0	仏教式		1	38	中国・四国	なし	日本	日本	会社員	愛媛	はい		大学・大学校	A
43	JP1036	JP	5	7	7	3	4	3	3	1	3	4	4	3	2	5	4	5	5	5	5	5	5	7	7	4	7	7	7	7	4	4	5	6	-1	2	-4	-4	-4	-2	7	4	4	1	0	0	1	0	1	0	8	2	4	1	8	1	5	2	5	5	2	2	5	2	2	5	2	6	6	1	4	8	10	キリスト教式		0	24	近畿（関西）	なし	日本語	日本	メイド	京都	はい		大学・大学校	A
44	JP1037	JP	7	7	7	7	7	7	7	7	7	7	7	5	5	5	5	4	3	4	5	4	4	1	1	2	1	2	2	3	1	4	1	1	0	0	1	2	1	1	5	4	7	3	4	8	3	7	5	10	7	7	7	6	7	5	6	6	5	6	4	6	3	4	5	4	5	4	5	6	1	1	1	無宗教式		0	44	中部・北陸	なし	日本	日本	無職	静岡県	はい	ネイティブ(母語が日本語である)	高等学校	A
45	JP1038	JP	7	7	7	7	6	7	7	7	7	7	7	6	6	4	4	4	4	5	4	3	4	4	3	4	3	4	4	2	2	4	1	2	0	1	0	0	0	1	5	8	5	5	7	8	5	5	6	8	5	6	7	5	6	5	4	5	4	5	5	5	4	4	5	5	5	3	4	5	2	1	3	仏教式		1	39	中部・北陸	なし	日本	日本	専業主婦	静岡県	はい		大学・大学校	A
46	JP1039	JP	6	6	6	6	6	6	6	7	6	7	7	5	4	3	4	2	3	4	3	3	3	7	6	3	2	3	6	3	3	6	4	4	0	0	1	-2	-2	2	0	8	2	0	2	10	0	2	2	10	2	2	2	2	5	3	3	4	4	3	4	5	3	3	4	4	4	3	3	5	4	2	2	無宗教式		0	43	関東	なし	日本	日本	アルバイト	神奈川	はい		大学・大学校	B
47	JP104	JP	5	6	6	6	6	6	6	6	6	6	6	6	6	4	4	4	4	3	4	3	4	6	6	4	4	4	4	4	4	4	3	3	-3	-3	-3	0	-1	2	5	8	7	8	6	6	6	6	5	6	6	6	6	6	6	4	4	4	5	3	5	4	4	4	5	3	5	4	5	2	7	1	5	仏教式		1	32	関東	なし	日本	日本	会社員	神奈川県	はい		大学・大学校	A
48	JP1040	JP	3	7	7	3	3	4	5	7	3	3	7	3	3	2	1	1	4	3	4	4	1	5	2	1	1	2	3	7	1	2	1	1	-4	-4	0	-4	-4	-4	0	10	0	0	0	10	0	0	0	10	0	10	0	0	10	7	1	7	1	1	7	1	1	7	7	7	7	1	1	2	2	2	0	仏教式		1	36	北海道・東北	なし	日本	日本	会社員	青森	はい		大学・大学校	B
49	JP1041	JP	4	4	4	4	4	4	4	4	4	4	5	4	4	5	4	3	2	3	4	1	2	4	2	1	3	4	2	4	4	4	4	4	2	2	2	0	3	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	6	2	4	5	5	4	3	4	4	6	5	4	4	7	1	1	0	仏教式		1	24	近畿（関西）	なし	日本	日本	学生	大阪	はい	ネイティブ(母語が日本語である)	専門学校・高等専門学校（高専）・短期大学	B
50	JP1042	JP	2	3	3	5	4	1	2	2	1	3	2	4	6	4	3	1	3	1	1	1	3	6	5	2	5	6	1	4	3	4	1	6	-3	-2	-1	-2	-2	4	0	3	0	0	3	9	0	0	1	6	0	1	1	0	1	5	6	6	7	7	3	7	6	7	6	7	7	7	1	5	8	2	0	仏教式		1	35	関東	なし	日本語	日本	建築士	東京都	はい	ビジネスレベル（Business）	大学・大学校	A
51	JP1043	JP	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	2	1	5	4	1	5	4	4	4	4	4	7	3	1	2	1	-3	-2	-2	3	-2	0	5	3	9	8	0	9	7	1	0	10	10	7	10	5	6	7	7	6	7	3	6	2	1	4	3	3	2	2	7	8	4	2	2	その他	なし	1	20	関東	なし	日本	日本	無職	神奈川県	はい		専門学校・高等専門学校（高専）・短期大学	A
52	JP1044	JP	4	6	6	7	7	7	7	7	6	7	7	7	7	4	3	2	3	3	3	4	5	4	4	5	4	6	4	4	4	4	4	4	0	0	1	0	-1	1	2	8	2	3	8	9	3	4	6	6	2	4	5	4	7	5	3	4	5	3	4	6	4	4	5	4	4	3	6	7	2	1	0	仏教式		0	43	関東	なし	日本	日本	作業療法士	東京都	はい	ネイティブ(母語が日本語である)	大学・大学校	A
53	JP1045	JP	6	6	5	6	6	5	5	6	6	6	6	6	6	2	2	3	2	1	2	2	3	3	3	3	2	3	4	4	3	4	4	4	0	0	0	-1	0	0	3	5	5	6	6	6	5	5	7	5	5	5	6	6	6	5	4	4	4	4	4	4	3	3	4	3	4	4	4	5	1	1	0	神式（神道式）	本人	0	60	関東	なし	日本	日本	運輸	埼玉	はい		高等学校	B
54	JP1046	JP	3	5	5	4	5	5	4	5	3	5	5	5	5	3	3	3	3	4	4	3	3	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	2	0	仏教式		1	45	中部・北陸	なし	日本	日本	専業主婦	愛知県	はい		専門学校・高等専門学校（高専）・短期大学	A
55	JP1047	JP	3	5	6	5	6	6	6	6	6	6	6	6	6	5	4	2	4	4	4	4	2	6	5	3	5	3	3	5	3	1	5	3	3	3	4	3	3	3	0	10	0	0	0	2	0	0	0	10	0	9	1	0	10	3	5	3	4	4	6	4	3	6	5	6	4	6	3	6	2	1	2	仏教式		1	22	関東	なし	日本	日本	学生	千葉県	はい		高等学校	A
56	JP1048	JP	7	7	7	7	7	7	7	7	7	7	7	7	7	3	5	2	5	1	5	4	3	7	5	3	4	4	2	4	4	5	4	4	3	4	2	4	4	4	5	5	5	5	5	8	5	5	5	8	3	8	3	5	8	6	6	7	7	7	7	6	4	7	7	7	5	3	5	2	2	1	10	仏教式		1	46	九州・沖縄	仏教	日本	日本	会社員	長崎県	はい		高等学校	A
57	JP1049	JP	5	6	6	6	6	6	6	6	6	6	7	6	5	3	4	4	3	2	5	3	2	6	6	3	5	5	2	4	4	5	3	4	0	0	0	1	0	1	6	5	5	5	6	6	5	5	5	7	6	5	5	5	5	5	5	4	4	3	6	5	3	4	5	5	5	4	5	8	3	1	5	仏教式		1	25	北海道・東北	なし	日本	日本	無職	岩手県	はい		高等学校	A
58	JP105	JP	5	5	5	5	5	5	5	5	5	5	6	5	5	3	2	2	3	2	3	3	2	3	3	3	3	4	4	5	4	4	3	3	0	-1	1	0	0	0	4	6	6	4	5	6	4	6	5	6	6	6	6	5	6	4	3	4	4	4	4	3	3	4	3	4	5	3	5	5	1	1	2	仏教式		0	60	中部・北陸	神道	日本	日本	自営業	石川県	はい		専門学校・高等専門学校（高専）・短期大学	A
59	JP1050	JP	7	7	7	7	7	7	7	7	7	7	7	7	7	4	5	4	5	2	4	2	4	4	2	2	1	1	1	4	4	3	2	1	-4	0	2	0	1	2	0	8	2	0	7	8	0	2	2	8	0	7	6	5	7	5	7	5	6	6	7	5	5	5	7	3	5	4	4	7	4	1	7	仏教式		1	40	中部・北陸	仏教・神道	日本	日本	看護師	愛知県	はい		大学・大学校	A
60	JP1051	JP	6	7	7	7	5	3	3	7	6	6	7	1	6	4	5	4	4	5	5	5	5	6	6	4	4	1	4	4	4	4	2	1	-4	-4	0	-3	-4	0	5	10	5	5	5	10	5	5	5	10	5	10	5	5	10	7	7	4	7	7	7	4	1	7	7	7	7	1	7	7	5	5	2	仏教式		1	25	中部・北陸	なし	日本	日本	無職	静岡県	はい		高等学校	A
61	JP1052	JP	1	4	4	4	1	5	5	5	1	4	4	3	1	3	4	3	2	1	1	1	1	7	7	4	3	3	1	5	5	6	3	2	-4	-3	1	-2	1	-1	3	3	0	0	3	6	3	1	4	7	1	2	2	2	4	4	5	5	6	5	6	2	2	3	3	6	2	7	7	6	2	1	0	無宗教式		1	33	中部・北陸	なし	日本	日本	製造	愛知	はい		高等学校	A
62	JP1053	JP	7	5	5	5	4	5	6	5	5	6	7	3	4	5	5	5	5	1	5	5	4	7	7	7	1	7	1	5	1	7	7	1	-4	-4	4	4	4	4	0	4	0	0	0	6	0	0	0	8	0	1	0	0	2	7	5	7	2	3	6	6	3	5	7	3	6	2	1	7	6	6	1	仏教式		1	20	中部・北陸	仏教	日本	日本	学生	新潟県	はい		高等学校	A
63	JP1054	JP	6	7	7	7	7	7	7	7	7	7	7	7	7	2	4	3	5	2	5	2	1	7	6	4	5	4	2	5	5	5	6	5	-3	-2	-2	0	0	1	5	6	6	6	7	6	5	7	6	9	8	9	7	7	9	4	5	5	6	5	4	4	5	4	5	4	4	4	4	4	2	1	3	仏教式		1	25	中部・北陸	なし	日本	日本	デザイナー	東京	はい		大学・大学校	A
